,Date,UserName,DisplayName,Tweet
80,2022-07-18 14:37:31+00:00,learn_all,Tahir M Ahmad_ Pakistan_Aussie Mate,"@ayaz1795 @UmarCheema1 درستگی پھر ایک بار  usd/bbl
آپ کی بات درست ہے کہ تیل کی عالمی  قیمت پھر 100ڈالر سے زیادہ ہو رہی ہیں مگر پچھلے دو ہفتے میں تیل 95 ڈالر فی بیرل  کے لگ بھگ رہی اور پاکستان میں 233 روپے کے لگ بھگ    بکتا رہا۔ https://t.co/nfWmiav69X"
81,2022-07-18 14:37:29+00:00,ridalali2,ridalali,@Prishyyyy56 @marnus3cricket Love this ❤️ from Pakistan
82,2022-07-18 14:37:28+00:00,KeepsamM,Kippsam Malik,@SadiaAsghar20 @ECP_Pakistan ہاں یہ بات بھی ہیں تو اچھی بات ہیں نیا بیانیہ بنانے کا موقع مل سکتا نا
83,2022-07-18 14:37:28+00:00,mullox_beater,Iffy Qamar Raza,"@IamAlikhan23 @smit2592 @CricFanUSA @Sandeep25 So If any single individual from Pakistan abuses Sandeep, would he be right to say Pakistani fans are worst ever?? 🤔🤔"
84,2022-07-18 14:37:28+00:00,Twi77zler,PakDefPTI,@AurangzebKhanN1 These men will be remembered in Pakistan's history and will be part of the Pakistan History curriculum in schools Insha Allah
85,2022-07-18 14:37:26+00:00,KSManilal1,K S Manilal,"@PChidambaram_IN @IndianExpress What else you can be. 26/11 your tears were for them. Your friends and colleagues like Mani Sankar Aiyar, are for Pakistan to destroy India. Your heads belong to Zubairs and now Janodharis..."
86,2022-07-18 14:37:26+00:00,BOND_PARODY,the_name_is_Bond (PARODY),@SameerNaqviii Kaunsa desh .Islamic republic of pakistan
87,2022-07-18 14:37:26+00:00,PakistanTrave16,Pakistan Traveler,"https://t.co/pjE2SBW8g7

#ChromaticaBall"
88,2022-07-18 14:37:26+00:00,Muhamma61651463,Asif Gul Ahmadzai,"People living near #Afghanistan border in #Pakistan especially Waziristan are still deprived of internet connection....
#heatwave https://t.co/QE7FJIXUza"
89,2022-07-18 14:37:25+00:00,tipu55,Tipu Khan,"Yes for the oppressed people of Pakistan, BIG NO for those who looted/ plundered the resources of Pakistan and made fortunes outside of Pakistan. https://t.co/QQnvpY5iw8"
90,2022-07-18 14:37:25+00:00,RikardRene,Rikard René 🇫🇷🇨🇦,"L'Alliance aux commandes ! Poutine cible déjà la Chine et dirige QFS en version bêta sur la blockchain, les monnaies d'or et d'argent. SWIFT est tué depuis l'an dernier.
Trump, Bin Salman, la Biélorussie, le Brésil, l'Argentine, le Pakistan, l'Inde et + de 100 pays testent le QFS"
91,2022-07-18 14:37:24+00:00,NetionalD,Netional Dastak,Sri Lanka vs Pakistan: Yasir Shah’s Shane Warne-Like Delivery To Bamboozle Sri Lanka Batter. Watch https://t.co/BRUr4VTyW0
92,2022-07-18 14:37:24+00:00,helpneededx,ramesh,"@AIIndia @zoo_bear Hi, 
What's your branch address in Pakistan?"
93,2022-07-18 14:37:20+00:00,Ezgiinar9,Ezgi Çinar,Türkiye ile Pakistan arasında çifte vatandaşlık 🤦 gerçekten artık yeter https://t.co/L3Td2L4Yx5
94,2022-07-18 14:37:16+00:00,Nadeem221,Nad-shak,@MoonisElahi6 His speech lacked substance. Need to move beyond rhetoric. People are in NO mood to forgive 25th May thuggery.  If illegal actions are not punished then no-one will invest in Pakistan..Punjab Police must be civilised
95,2022-07-18 14:37:15+00:00,TheMoazClothing,The Moaz Clothing,"NO WORK TODAY

Due to Public Holiday all over the Pakistan we are not able to send or deliver your products on time, and they get delayed, for couple of days, so don't get panic cause we are here for you. Happy Eid Ul Azha Mubarak in Advance from TMC.

#eid #eid2022 #EidulAdha https://t.co/3V6X7sIgH5"
96,2022-07-18 14:37:14+00:00,Pakiyo_KMKB,Pakistan KMKB,"@andrabi_musaib @muneeb_butt9 Chal chutiye!
Tere kitne baap hai ye pata bhi hai tujhe ya nahi 🤣
Tumhare yaha hote hai 6-7 10 bche, humare waha nahi. Factory laga rakhi hai tumne 🤣"
97,2022-07-18 14:37:10+00:00,MuhativlogAtif,Dr. Muhammad Atif,"Your conduct is questioned by the major political party of the Pakistan.
So it is better to resign.
@ImranKhanPTI
@ImranRiazKhan
#الیکشن_کمشنر_استعفی_دو"
98,2022-07-18 14:37:08+00:00,AhmadHassanDo12,Ahmad Hassan Dogar,Pakistan Zindabad #الیکشن_کمشنر_استعفی_دو
99,2022-07-18 14:37:08+00:00,PakistanTrave16,Pakistan Traveler,"https://t.co/pjE2SCehuf

#IchBinRaus"
